Feature,foci_av_emotionSPMfinal_ALE_resliced.nii
001,-0.0481
01,-0.0531
05,-0.0304
05 corrected,0.0071
10,-0.0822
10 healthy,-0.0257
100,-0.0244
11,-0.0469
12,-0.019
12 healthy,0.0333
13,-0.0536
14,-0.0238
14 healthy,-0.0273
15,-0.0405
15 healthy,0.0262
16,0.0001
16 healthy,-0.075
17,-0.0139
18,-0.0807
18 healthy,-0.0325
19,-0.0268
20,-0.0053
20 healthy,-0.0039
200,-0.022
2007,-0.026
21,-0.0095
22,0.0291
23,-0.043
24,-0.013
25,-0.056
26,-0.0239
27,-0.0486
28,0.0116
29,-0.0306
30,-0.0623
31,-0.0711
32,-0.0502
33,-0.0214
34,-0.0213
35,-0.0224
36,-0.0252
37,-0.0099
38,0.0018
39,0.0101
3d,-0.0574
3t,-0.015
40,-0.0628
41,-0.0063
42,-0.0293
44,-0.0605
45,-0.0209
46,-0.052
47,-0.0004
48,0.0201
49,-0.076
50,-0.0242
60,0.0262
70,-0.014
75,-0.0016
80,-0.0186
90,-0.0639
aberrant,0.006
abilities,-0.0546
ability,-0.034
able,-0.0189
abnormal,-0.0768
abnormalities,-0.081
abnormality,-0.0409
absence,0.0131
absent,-0.0234
absolute,-0.0339
abstract,-0.0053
abuse,0.0572
acc,-0.0555
access,0.0494
accompanied,-0.004
accordance,-0.0309
according,0.0027
accordingly,0.0359
account,-0.0047
accounted,0.002
accounts,0.0141
accumbens,0.0083
accuracy,-0.0472
accurate,0.0481
accurately,0.0057
achieve,0.0001
achieved,-0.0185
acoustic,0.163
acquired,-0.0188
acquisition,-0.0019
act,-0.0401
action,-0.023
action observation,0.0356
actions,-0.0021
activate,0.012
activates,-0.0291
activations,0.0414
active,-0.0233
actively,0.0228
activities,-0.019
acts,-0.0567
actual,-0.0472
actually,0.0041
acute,0.003
ad,0.026
adaptation,0.0319
adapted,0.0021
adaptive,0.0549
add,-0.0271
addiction,-0.0356
addition,-0.0196
additional,-0.0007
additionally,0.0251
addressed,0.0107
adhd,-0.0577
adjacent,-0.0449
adjustments,-0.0181
administered,0.0176
administration,-0.0059
adolescence,-0.023
adolescent,-0.0045
adolescents,-0.0354
adopted,0.0155
adult,-0.0252
adulthood,0.027
adults,-0.0363
advanced,-0.0165
advantage,0.0178
affect,0.0477
affected,-0.0491
affecting,-0.0034
affective,0.1243
affects,0.022
age,-0.0782
age controls,-0.0683
age gender,0.0066
age groups,0.0147
age healthy,-0.023
age sex,-0.0501
aged,-0.0071
ages,0.0024
aging,-0.0413
agreement,-0.026
aim,-0.0523
aimed,-0.0168
aims,-0.0377
al,-0.022
alcohol,0.0156
algorithm,-0.0378
allele,0.0134
allocation,0.0048
allow,-0.0351
allowed,-0.0147
allowing,-0.0344
allows,-0.0531
alpha,-0.049
alter,-0.0237
alteration,-0.0098
alterations,-0.0661
altered,-0.0315
alternating,0.0298
alternative,-0.041
